/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=368, Training Error=-285.050, Testing Error=248.640
Generation=369, Training Error=-284.865, Testing Error=248.689
Generation=370, Training Error=-284.679, Testing Error=248.738
Generation=371, Training Error=-284.492, Testing Error=248.787
Generation=372, Training Error=-284.304, Testing Error=248.836
Generation=373, Training Error=-284.115, Testing Error=248.885
Generation=374, Training Error=-283.926, Testing Error=248.934
Generation=375, Training Error=-283.736, Testing Error=248.983
Generation=376, Training Error=-283.545, Testing Error=249.032
Generation=377, Training Error=-283.353, Testing Error=249.081
Generation=378, Training Error=-283.161, Testing Error=249.130
Generation=379, Training Error=-282.967, Testing Error=249.178
Generation=380, Training Error=-282.773, Testing Error=249.227
Generation=381, Training Error=-282.578, Testing Error=249.276
Generation=382, Training Error=-282.383, Testing Error=249.324
Generation=383, Training Error=-282.186, Testing Error=249.373
Generation=384, Training Error=-281.989, Testing Error=249.421
Generation=385, Training Error=-281.791, Testing Error=249.470
Generation=386, Training Error=-281.592, Testing Error=249.518
Generation=387, Training Error=-281.393, Testing Error=249.566
Generation=388, Training Error=-281.192, Testing Error=249.615
Generation=389, Training Error=-280.991, Testing Error=249.663
Generation=390, Training Error=-280.790, Testing Error=249.711
Generation=391, Training Error=-280.587, Testing Error=249.759
Generation=392, Training Error=-280.383, Testing Error=249.807
Generation=393, Training Error=-280.179, Testing Error=249.855
Generation=394, Training Error=-279.974, Testing Error=249.903
Generation=395, Training Error=-279.769, Testing Error=249.951
Generation=396, Training Error=-279.562, Testing Error=249.999
Generation=397, Training Error=-279.355, Testing Error=250.047
Generation=398, Training Error=-279.147, Testing Error=250.094
Generation=399, Training Error=-278.938, Testing Error=250.142
Generation=400, Training Error=-278.729, Testing Error=250.190
Generation=401, Training Error=-278.518, Testing Error=250.237
Generation=402, Training Error=-278.307, Testing Error=250.285
Generation=403, Training Error=-278.096, Testing Error=250.332
Generation=404, Training Error=-277.883, Testing Error=250.380
Generation=405, Training Error=-277.670, Testing Error=250.427
Generation=406, Training Error=-277.456, Testing Error=250.474
Generation=407, Training Error=-277.241, Testing Error=250.521
Generation=408, Training Error=-277.025, Testing Error=250.569
Generation=409, Training Error=-276.809, Testing Error=250.616
Generation=410, Training Error=-276.592, Testing Error=250.663
Generation=411, Training Error=-276.374, Testing Error=250.710
Generation=412, Training Error=-276.156, Testing Error=250.757
Generation=413, Training Error=-275.937, Testing Error=250.804
Generation=414, Training Error=-275.717, Testing Error=250.850
Generation=415, Training Error=-275.496, Testing Error=250.897
Generation=416, Training Error=-275.274, Testing Error=250.944
Generation=417, Training Error=-275.052, Testing Error=250.991
Generation=418, Training Error=-274.829, Testing Error=251.037
Generation=419, Training Error=-274.606, Testing Error=251.084
Generation=420, Training Error=-274.381, Testing Error=251.130
Generation=421, Training Error=-274.156, Testing Error=251.177
Generation=422, Training Error=-273.930, Testing Error=251.223
Generation=423, Training Error=-273.704, Testing Error=251.269
Generation=424, Training Error=-273.476, Testing Error=251.316
Generation=425, Training Error=-273.248, Testing Error=251.362
Generation=426, Training Error=-273.020, Testing Error=251.408
Generation=427, Training Error=-272.790, Testing Error=251.454
Generation=428, Training Error=-272.560, Testing Error=251.500
Generation=429, Training Error=-272.329, Testing Error=251.546
Generation=430, Training Error=-272.098, Testing Error=251.592
Generation=431, Training Error=-271.865, Testing Error=251.638
Generation=432, Training Error=-271.632, Testing Error=251.684
Generation=433, Training Error=-271.399, Testing Error=251.729
Generation=434, Training Error=-271.164, Testing Error=251.775
Generation=435, Training Error=-270.929, Testing Error=251.820
Generation=436, Training Error=-270.694, Testing Error=251.866
Generation=437, Training Error=-270.457, Testing Error=251.911
Generation=438, Training Error=-270.220, Testing Error=251.957
Generation=439, Training Error=-269.982, Testing Error=252.002
Generation=440, Training Error=-269.744, Testing Error=252.048
Generation=441, Training Error=-269.504, Testing Error=252.093
Generation=442, Training Error=-269.265, Testing Error=252.138
Generation=443, Training Error=-269.024, Testing Error=252.183
Generation=444, Training Error=-268.783, Testing Error=252.228
Generation=445, Training Error=-268.541, Testing Error=252.273
Generation=446, Training Error=-268.298, Testing Error=252.318
Generation=447, Training Error=-268.055, Testing Error=252.363
Generation=448, Training Error=-267.811, Testing Error=252.407
Generation=449, Training Error=-267.567, Testing Error=252.452
Generation=450, Training Error=-267.321, Testing Error=252.497
Generation=451, Training Error=-267.075, Testing Error=252.541
Generation=452, Training Error=-266.829, Testing Error=252.586
Generation=453, Training Error=-266.582, Testing Error=252.630
Generation=454, Training Error=-266.334, Testing Error=252.675
Generation=455, Training Error=-266.085, Testing Error=252.719
Generation=456, Training Error=-265.836, Testing Error=252.763
Generation=457, Training Error=-265.586, Testing Error=252.807
Generation=458, Training Error=-265.336, Testing Error=252.852
Generation=459, Training Error=-265.085, Testing Error=252.896
Generation=460, Training Error=-264.833, Testing Error=252.940
Generation=461, Training Error=-264.581, Testing Error=252.984
Generation=462, Training Error=-264.328, Testing Error=253.027
Generation=463, Training Error=-264.074, Testing Error=253.071
Generation=464, Training Error=-263.820, Testing Error=253.115
Generation=465, Training Error=-263.565, Testing Error=253.159
Generation=466, Training Error=-263.310, Testing Error=253.202
Generation=467, Training Error=-263.054, Testing Error=253.246
Generation=468, Training Error=-262.797, Testing Error=253.289
Generation=469, Training Error=-262.540, Testing Error=253.333
Generation=470, Training Error=-262.282, Testing Error=253.376
Generation=471, Training Error=-262.023, Testing Error=253.419
Generation=472, Training Error=-261.764, Testing Error=253.462
Generation=473, Training Error=-261.504, Testing Error=253.505
Generation=474, Training Error=-261.244, Testing Error=253.548
Generation=475, Training Error=-260.983, Testing Error=253.591
Generation=476, Training Error=-260.722, Testing Error=253.634
Generation=477, Training Error=-260.460, Testing Error=253.677
Generation=478, Training Error=-260.197, Testing Error=253.720
Generation=479, Training Error=-259.934, Testing Error=253.763
Generation=480, Training Error=-259.670, Testing Error=253.805
Generation=481, Training Error=-259.406, Testing Error=253.848
Generation=482, Training Error=-259.141, Testing Error=253.890
Generation=483, Training Error=-258.875, Testing Error=253.933
Generation=484, Training Error=-258.609, Testing Error=253.975
Generation=485, Training Error=-258.342, Testing Error=254.017
Generation=486, Training Error=-258.075, Testing Error=254.059
Generation=487, Training Error=-257.808, Testing Error=254.102
Generation=488, Training Error=-257.539, Testing Error=254.144
Generation=489, Training Error=-257.270, Testing Error=254.186
Generation=490, Training Error=-257.001, Testing Error=254.228
Generation=491, Training Error=-256.731, Testing Error=254.269
Generation=492, Training Error=-256.461, Testing Error=254.311
Generation=493, Training Error=-256.190, Testing Error=254.353
Generation=494, Training Error=-255.918, Testing Error=254.395
Generation=495, Training Error=-255.646, Testing Error=254.436
Generation=496, Training Error=-255.373, Testing Error=254.478
Generation=497, Training Error=-255.100, Testing Error=254.519
Generation=498, Training Error=-254.827, Testing Error=254.560
Generation=499, Training Error=-254.552, Testing Error=254.602
Generation=500, Training Error=-254.278, Testing Error=254.643
Generation=501, Training Error=-254.003, Testing Error=254.684
Generation=502, Training Error=-253.727, Testing Error=254.725
Generation=503, Training Error=-253.451, Testing Error=254.766
Generation=504, Training Error=-253.174, Testing Error=254.807
Generation=505, Training Error=-252.897, Testing Error=254.848
Generation=506, Training Error=-252.619, Testing Error=254.888
Generation=507, Training Error=-252.341, Testing Error=254.929
Generation=508, Training Error=-252.063, Testing Error=254.970
Generation=509, Training Error=-251.783, Testing Error=255.010
Generation=510, Training Error=-251.504, Testing Error=255.051
Generation=511, Training Error=-251.224, Testing Error=255.091
Generation=512, Training Error=-250.943, Testing Error=255.131
Generation=513, Training Error=-250.662, Testing Error=255.172
Generation=514, Training Error=-250.381, Testing Error=255.212
Generation=515, Training Error=-250.099, Testing Error=255.252
Generation=516, Training Error=-249.816, Testing Error=255.292
Generation=517, Training Error=-249.534, Testing Error=255.332
Generation=518, Training Error=-249.250, Testing Error=255.372
Generation=519, Training Error=-248.967, Testing Error=255.411
Generation=520, Training Error=-248.682, Testing Error=255.451
Generation=521, Training Error=-248.398, Testing Error=255.491
Generation=522, Training Error=-248.113, Testing Error=255.530
Generation=523, Training Error=-247.827, Testing Error=255.570
Generation=524, Training Error=-247.541, Testing Error=255.609
Generation=525, Training Error=-247.255, Testing Error=255.649
Generation=526, Training Error=-246.968, Testing Error=255.688
