/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=308, Training Error=-1.607, Testing Error=174.082
Generation=309, Training Error=-1.622, Testing Error=174.074
Generation=310, Training Error=-1.638, Testing Error=174.067
Generation=311, Training Error=-1.654, Testing Error=174.059
Generation=312, Training Error=-1.669, Testing Error=174.052
Generation=313, Training Error=-1.685, Testing Error=174.044
Generation=314, Training Error=-1.701, Testing Error=174.036
Generation=315, Training Error=-1.717, Testing Error=174.028
Generation=316, Training Error=-1.732, Testing Error=174.020
Generation=317, Training Error=-1.748, Testing Error=174.012
Generation=318, Training Error=-1.764, Testing Error=174.004
Generation=319, Training Error=-1.780, Testing Error=173.996
Generation=320, Training Error=-1.796, Testing Error=173.988
Generation=321, Training Error=-1.812, Testing Error=173.979
Generation=322, Training Error=-1.828, Testing Error=173.971
Generation=323, Training Error=-1.845, Testing Error=173.963
Generation=324, Training Error=-1.861, Testing Error=173.954
Generation=325, Training Error=-1.877, Testing Error=173.945
Generation=326, Training Error=-1.893, Testing Error=173.937
Generation=327, Training Error=-1.909, Testing Error=173.928
Generation=328, Training Error=-1.925, Testing Error=173.919
Generation=329, Training Error=-1.941, Testing Error=173.910
Generation=330, Training Error=-1.958, Testing Error=173.902
Generation=331, Training Error=-1.974, Testing Error=173.893
Generation=332, Training Error=-1.990, Testing Error=173.884
Generation=333, Training Error=-2.006, Testing Error=173.874
Generation=334, Training Error=-2.022, Testing Error=173.865
Generation=335, Training Error=-2.038, Testing Error=173.856
Generation=336, Training Error=-2.054, Testing Error=173.847
Generation=337, Training Error=-2.069, Testing Error=173.837
Generation=338, Training Error=-2.085, Testing Error=173.828
Generation=339, Training Error=-2.101, Testing Error=173.819
Generation=340, Training Error=-2.117, Testing Error=173.809
Generation=341, Training Error=-2.132, Testing Error=173.800
Generation=342, Training Error=-2.148, Testing Error=173.790
Generation=343, Training Error=-2.163, Testing Error=173.780
Generation=344, Training Error=-2.178, Testing Error=173.770
Generation=345, Training Error=-2.193, Testing Error=173.761
Generation=346, Training Error=-2.208, Testing Error=173.751
Generation=347, Training Error=-2.223, Testing Error=173.741
Generation=348, Training Error=-2.238, Testing Error=173.731
Generation=349, Training Error=-2.253, Testing Error=173.721
Generation=350, Training Error=-2.267, Testing Error=173.711
Generation=351, Training Error=-2.282, Testing Error=173.701
Generation=352, Training Error=-2.296, Testing Error=173.691
Generation=353, Training Error=-2.310, Testing Error=173.681
Generation=354, Training Error=-2.324, Testing Error=173.671
Generation=355, Training Error=-2.337, Testing Error=173.661
Generation=356, Training Error=-2.351, Testing Error=173.650
Generation=357, Training Error=-2.364, Testing Error=173.640
Generation=358, Training Error=-2.377, Testing Error=173.630
Generation=359, Training Error=-2.390, Testing Error=173.619
Generation=360, Training Error=-2.403, Testing Error=173.609
Generation=361, Training Error=-2.416, Testing Error=173.599
Generation=362, Training Error=-2.428, Testing Error=173.588
Generation=363, Training Error=-2.440, Testing Error=173.578
Generation=364, Training Error=-2.452, Testing Error=173.567
Generation=365, Training Error=-2.463, Testing Error=173.557
Generation=366, Training Error=-2.475, Testing Error=173.546
Generation=367, Training Error=-2.486, Testing Error=173.536
Generation=368, Training Error=-2.497, Testing Error=173.525
Generation=369, Training Error=-2.508, Testing Error=173.515
Generation=370, Training Error=-2.518, Testing Error=173.504
Generation=371, Training Error=-2.528, Testing Error=173.493
Generation=372, Training Error=-2.538, Testing Error=173.483
Generation=373, Training Error=-2.548, Testing Error=173.472
Generation=374, Training Error=-2.557, Testing Error=173.462
Generation=375, Training Error=-2.566, Testing Error=173.451
Generation=376, Training Error=-2.575, Testing Error=173.440
Generation=377, Training Error=-2.583, Testing Error=173.430
Generation=378, Training Error=-2.592, Testing Error=173.419
Generation=379, Training Error=-2.600, Testing Error=173.408
Generation=380, Training Error=-2.607, Testing Error=173.398
Generation=381, Training Error=-2.615, Testing Error=173.387
Generation=382, Training Error=-2.622, Testing Error=173.376
Generation=383, Training Error=-2.629, Testing Error=173.365
Generation=384, Training Error=-2.635, Testing Error=173.355
Generation=385, Training Error=-2.642, Testing Error=173.344
Generation=386, Training Error=-2.648, Testing Error=173.333
Generation=387, Training Error=-2.653, Testing Error=173.323
Generation=388, Training Error=-2.659, Testing Error=173.312
Generation=389, Training Error=-2.664, Testing Error=173.301
Generation=390, Training Error=-2.669, Testing Error=173.291
Generation=391, Training Error=-2.674, Testing Error=173.280
Generation=392, Training Error=-2.678, Testing Error=173.269
Generation=393, Training Error=-2.682, Testing Error=173.259
Generation=394, Training Error=-2.686, Testing Error=173.248
Generation=395, Training Error=-2.689, Testing Error=173.237
Generation=396, Training Error=-2.692, Testing Error=173.227
Generation=397, Training Error=-2.695, Testing Error=173.216
Generation=398, Training Error=-2.698, Testing Error=173.206
Generation=399, Training Error=-2.700, Testing Error=173.195
Generation=400, Training Error=-2.703, Testing Error=173.184
Generation=401, Training Error=-2.705, Testing Error=173.174
Generation=402, Training Error=-2.706, Testing Error=173.163
Generation=403, Training Error=-2.708, Testing Error=173.153
Generation=404, Training Error=-2.709, Testing Error=173.142
Generation=405, Training Error=-2.710, Testing Error=173.132
Generation=406, Training Error=-2.710, Testing Error=173.121
Generation=407, Training Error=-2.711, Testing Error=173.111
Generation=408, Training Error=-2.711, Testing Error=173.100
Generation=409, Training Error=-2.711, Testing Error=173.090
Generation=410, Training Error=-2.710, Testing Error=173.079
Generation=411, Training Error=-2.710, Testing Error=173.069
Generation=412, Training Error=-2.709, Testing Error=173.058
Generation=413, Training Error=-2.708, Testing Error=173.048
Generation=414, Training Error=-2.707, Testing Error=173.037
Generation=415, Training Error=-2.705, Testing Error=173.027
