/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=228, Training Error=-49.696, Testing Error=5.962
Generation=229, Training Error=-49.092, Testing Error=5.882
Generation=230, Training Error=-48.494, Testing Error=5.802
Generation=231, Training Error=-47.904, Testing Error=5.723
Generation=232, Training Error=-47.321, Testing Error=5.645
Generation=233, Training Error=-46.744, Testing Error=5.567
Generation=234, Training Error=-46.175, Testing Error=5.491
Generation=235, Training Error=-45.612, Testing Error=5.416
Generation=236, Training Error=-45.056, Testing Error=5.342
Generation=237, Training Error=-44.507, Testing Error=5.268
Generation=238, Training Error=-43.964, Testing Error=5.195
Generation=239, Training Error=-43.428, Testing Error=5.124
Generation=240, Training Error=-42.898, Testing Error=5.053
Generation=241, Training Error=-42.374, Testing Error=4.983
Generation=242, Training Error=-41.856, Testing Error=4.913
Generation=243, Training Error=-41.345, Testing Error=4.845
Generation=244, Training Error=-40.840, Testing Error=4.777
Generation=245, Training Error=-40.341, Testing Error=4.711
Generation=246, Training Error=-39.847, Testing Error=4.645
Generation=247, Training Error=-39.360, Testing Error=4.579
Generation=248, Training Error=-38.878, Testing Error=4.515
Generation=249, Training Error=-38.403, Testing Error=4.451
Generation=250, Training Error=-37.932, Testing Error=4.388
Generation=251, Training Error=-37.468, Testing Error=4.326
Generation=252, Training Error=-37.009, Testing Error=4.265
Generation=253, Training Error=-36.555, Testing Error=4.204
Generation=254, Training Error=-36.107, Testing Error=4.144
Generation=255, Training Error=-35.664, Testing Error=4.085
Generation=256, Training Error=-35.226, Testing Error=4.026
Generation=257, Training Error=-34.794, Testing Error=3.968
Generation=258, Training Error=-34.367, Testing Error=3.911
Generation=259, Training Error=-33.945, Testing Error=3.855
Generation=260, Training Error=-33.528, Testing Error=3.799
Generation=261, Training Error=-33.115, Testing Error=3.744
Generation=262, Training Error=-32.708, Testing Error=3.689
Generation=263, Training Error=-32.306, Testing Error=3.635
Generation=264, Training Error=-31.908, Testing Error=3.582
Generation=265, Training Error=-31.515, Testing Error=3.530
Generation=266, Training Error=-31.127, Testing Error=3.478
Generation=267, Training Error=-30.743, Testing Error=3.426
