/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=496, Training Error=0.297, Testing Error=2338.590
Generation=497, Training Error=0.289, Testing Error=2338.591
Generation=498, Training Error=0.281, Testing Error=2338.592
Generation=499, Training Error=0.273, Testing Error=2338.594
Generation=500, Training Error=0.265, Testing Error=2338.595
Generation=501, Training Error=0.258, Testing Error=2338.596
Generation=502, Training Error=0.251, Testing Error=2338.597
Generation=503, Training Error=0.244, Testing Error=2338.598
Generation=504, Training Error=0.237, Testing Error=2338.598
Generation=505, Training Error=0.231, Testing Error=2338.599
Generation=506, Training Error=0.224, Testing Error=2338.600
Generation=507, Training Error=0.218, Testing Error=2338.601
Generation=508, Training Error=0.212, Testing Error=2338.602
Generation=509, Training Error=0.206, Testing Error=2338.603
Generation=510, Training Error=0.200, Testing Error=2338.604
Generation=511, Training Error=0.195, Testing Error=2338.604
Generation=512, Training Error=0.189, Testing Error=2338.605
Generation=513, Training Error=0.184, Testing Error=2338.606
Generation=514, Training Error=0.179, Testing Error=2338.607
Generation=515, Training Error=0.174, Testing Error=2338.607
Generation=516, Training Error=0.169, Testing Error=2338.608
Generation=517, Training Error=0.165, Testing Error=2338.609
Generation=518, Training Error=0.160, Testing Error=2338.609
Generation=519, Training Error=0.156, Testing Error=2338.610
Generation=520, Training Error=0.151, Testing Error=2338.610
