/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=440, Training Error=-0.004, Testing Error=116.213
Generation=441, Training Error=-0.004, Testing Error=116.213
Generation=442, Training Error=-0.004, Testing Error=116.213
Generation=443, Training Error=-0.004, Testing Error=116.213
Generation=444, Training Error=-0.004, Testing Error=116.213
Generation=445, Training Error=-0.004, Testing Error=116.213
Generation=446, Training Error=-0.004, Testing Error=116.213
Generation=447, Training Error=-0.004, Testing Error=116.213
Generation=448, Training Error=-0.004, Testing Error=116.213
Generation=449, Training Error=-0.004, Testing Error=116.213
Generation=450, Training Error=-0.004, Testing Error=116.213
Generation=451, Training Error=-0.004, Testing Error=116.213
Generation=452, Training Error=-0.004, Testing Error=116.213
Generation=453, Training Error=-0.004, Testing Error=116.213
Generation=454, Training Error=-0.004, Testing Error=116.213
Generation=455, Training Error=-0.004, Testing Error=116.213
Generation=456, Training Error=-0.004, Testing Error=116.213
Generation=457, Training Error=-0.004, Testing Error=116.213
Generation=458, Training Error=-0.004, Testing Error=116.213
Generation=459, Training Error=-0.004, Testing Error=116.213
Generation=460, Training Error=-0.004, Testing Error=116.213
Generation=461, Training Error=-0.004, Testing Error=116.213
Generation=462, Training Error=-0.004, Testing Error=116.213
Generation=463, Training Error=-0.004, Testing Error=116.213
Generation=464, Training Error=-0.004, Testing Error=116.213
Generation=465, Training Error=-0.004, Testing Error=116.213
Generation=466, Training Error=-0.004, Testing Error=116.213
Generation=467, Training Error=-0.004, Testing Error=116.213
Generation=468, Training Error=-0.004, Testing Error=116.213
Generation=469, Training Error=-0.004, Testing Error=116.213
Generation=470, Training Error=-0.004, Testing Error=116.212
Generation=471, Training Error=-0.004, Testing Error=116.212
Generation=472, Training Error=-0.004, Testing Error=116.212
Generation=473, Training Error=-0.004, Testing Error=116.212
Generation=474, Training Error=-0.004, Testing Error=116.212
Generation=475, Training Error=-0.004, Testing Error=116.212
Generation=476, Training Error=-0.004, Testing Error=116.212
Generation=477, Training Error=-0.004, Testing Error=116.212
Generation=478, Training Error=-0.004, Testing Error=116.212
Generation=479, Training Error=-0.004, Testing Error=116.212
Generation=480, Training Error=-0.004, Testing Error=116.212
Generation=481, Training Error=-0.004, Testing Error=116.212
Generation=482, Training Error=-0.004, Testing Error=116.212
Generation=483, Training Error=-0.004, Testing Error=116.212
Generation=484, Training Error=-0.004, Testing Error=116.212
Generation=485, Training Error=-0.004, Testing Error=116.212
Generation=486, Training Error=-0.004, Testing Error=116.212
Generation=487, Training Error=-0.004, Testing Error=116.212
Generation=488, Training Error=-0.004, Testing Error=116.212
Generation=489, Training Error=-0.004, Testing Error=116.212
Generation=490, Training Error=-0.004, Testing Error=116.212
Generation=491, Training Error=-0.004, Testing Error=116.212
Generation=492, Training Error=-0.004, Testing Error=116.212
Generation=493, Training Error=-0.004, Testing Error=116.212
Generation=494, Training Error=-0.004, Testing Error=116.212
Generation=495, Training Error=-0.004, Testing Error=116.212
Generation=496, Training Error=-0.004, Testing Error=116.212
Generation=497, Training Error=-0.004, Testing Error=116.212
Generation=498, Training Error=-0.004, Testing Error=116.212
Generation=499, Training Error=-0.004, Testing Error=116.212
Generation=500, Training Error=-0.004, Testing Error=116.212
Generation=501, Training Error=-0.004, Testing Error=116.212
Generation=502, Training Error=-0.004, Testing Error=116.212
Generation=503, Training Error=-0.004, Testing Error=116.212
Generation=504, Training Error=-0.004, Testing Error=116.212
Generation=505, Training Error=-0.004, Testing Error=116.212
Generation=506, Training Error=-0.004, Testing Error=116.212
Generation=507, Training Error=-0.004, Testing Error=116.212
Generation=508, Training Error=-0.004, Testing Error=116.212
Generation=509, Training Error=-0.004, Testing Error=116.212
Generation=510, Training Error=-0.004, Testing Error=116.212
Generation=511, Training Error=-0.004, Testing Error=116.212
Generation=512, Training Error=-0.004, Testing Error=116.212
Generation=513, Training Error=-0.004, Testing Error=116.212
Generation=514, Training Error=-0.004, Testing Error=116.212
Generation=515, Training Error=-0.004, Testing Error=116.212
Generation=516, Training Error=-0.004, Testing Error=116.212
Generation=517, Training Error=-0.004, Testing Error=116.212
Generation=518, Training Error=-0.004, Testing Error=116.212
Generation=519, Training Error=-0.004, Testing Error=116.212
Generation=520, Training Error=-0.004, Testing Error=116.212
Generation=521, Training Error=-0.004, Testing Error=116.212
Generation=522, Training Error=-0.004, Testing Error=116.212
Generation=523, Training Error=-0.004, Testing Error=116.212
Generation=524, Training Error=-0.004, Testing Error=116.212
Generation=525, Training Error=-0.004, Testing Error=116.212
Generation=526, Training Error=-0.004, Testing Error=116.212
